id,delivery_method,customer_id,order_date,ship_date,status,payment_type
5612,Express,1054,2025-08-04,2025-08-08,Pending,Card
5613,Pickup,912,2025-06-26,2025-07-02,Delivered,Cash on Delivery
5614,Standard,1171,2025-02-19,2025-02-25,Delivered,Cash on Delivery
5615,Express,1884,2024-09-21,2024-09-27,Delivered,Bank Transfer
5616,Express,939,2025-07-22,2025-07-27,Delivered,Cash on Delivery
5617,Express,915,2025-05-12,2025-05-18,Shipped,Bank Transfer
5618,Standard,1696,2025-05-03,2025-05-09,Pending,Cash on Delivery
5619,Pickup,260,2024-10-10,2024-10-13,Shipped,Card
5620,Pickup,1919,2025-03-28,2025-04-03,Delivered,Cash on Delivery
5621,Standard,1616,2024-08-16,2024-08-19,Delivered,Card
5622,Pickup,593,2025-07-29,2025-08-01,Shipped,Card
5623,Standard,1784,2024-02-20,2024-02-26,Delivered,Cash on Delivery
5624,Pickup,1016,2025-02-06,2025-02-11,Delivered,Bank Transfer
5625,Standard,1318,2025-07-04,2025-07-10,Shipped,Card
5626,Standard,1337,2024-11-03,2024-11-07,Delivered,Cash on Delivery
5627,Express,1001,2025-03-15,2025-03-22,Shipped,Cash on Delivery
5628,Express,1011,2025-06-29,2025-07-04,Pending,Card
5629,Pickup,1202,2025-06-23,2025-06-29,Pending,Bank Transfer
5630,Pickup,1995,2025-05-29,2025-06-05,Pending,Card
5631,Standard,1922,2025-07-11,2025-07-17,Shipped,Bank Transfer
5632,Pickup,754,2024-12-02,2024-12-09,Delivered,Bank Transfer
5633,Express,311,2025-06-12,2025-06-16,Pending,Cash on Delivery
5634,Pickup,1384,2025-05-27,2025-06-03,Shipped,Bank Transfer
5635,Standard,1233,2024-09-03,2024-09-09,Delivered,Cash on Delivery
5636,Express,129,2024-12-20,2024-12-25,Shipped,Cash on Delivery
5637,Pickup,1480,2025-06-30,2025-07-02,Shipped,Cash on Delivery
5638,Pickup,1337,2025-05-31,2025-06-04,Delivered,Bank Transfer
5639,Standard,1880,2025-01-18,2025-01-23,Pending,Cash on Delivery
5640,Pickup,139,2025-07-30,2025-08-02,Pending,Cash on Delivery
5641,Pickup,1735,2025-06-21,2025-06-28,Shipped,Card
5642,Standard,330,2025-01-19,2025-01-26,Delivered,Cash on Delivery
5643,Pickup,1135,2024-12-07,2024-12-14,Shipped,Card
5644,Express,212,2025-04-10,2025-04-15,Shipped,Bank Transfer
5645,Pickup,1727,2025-03-24,2025-03-30,Delivered,Cash on Delivery
5646,Standard,588,2025-08-13,2025-08-18,Pending,Card
5647,Standard,1022,2025-07-13,2025-07-18,Shipped,Cash on Delivery
5648,Standard,1657,2025-08-10,2025-08-13,Pending,Card
5649,Standard,794,2025-05-14,2025-05-16,Delivered,Cash on Delivery
5650,Pickup,1563,2024-12-24,2024-12-28,Delivered,Cash on Delivery
5651,Standard,1964,2024-11-12,2024-11-17,Pending,Bank Transfer
5652,Express,353,2025-07-17,2025-07-22,Pending,Bank Transfer
5653,Express,1873,2025-06-11,2025-06-16,Pending,Cash on Delivery
5654,Express,1719,2025-01-11,2025-01-15,Pending,Card
5655,Pickup,1051,2024-12-18,2024-12-20,Delivered,Bank Transfer
5656,Standard,1006,2025-06-04,2025-06-07,Delivered,Bank Transfer
5657,Pickup,1548,2025-04-03,2025-04-09,Pending,Bank Transfer
5658,Pickup,742,2024-09-29,2024-10-05,Delivered,Card
5659,Pickup,1763,2025-02-22,2025-02-25,Shipped,Bank Transfer
5660,Express,788,2024-03-09,2024-03-11,Shipped,Bank Transfer
5661,Express,468,2025-06-11,2025-06-16,Pending,Bank Transfer
5662,Standard,423,2025-04-29,2025-05-04,Delivered,Bank Transfer
5663,Express,1276,2025-03-13,2025-03-18,Pending,Card
5664,Standard,609,2024-02-08,2024-02-13,Delivered,Cash on Delivery
5665,Standard,1640,2024-05-22,2024-05-27,Pending,Card
5666,Standard,659,2025-03-11,2025-03-16,Pending,Cash on Delivery
5667,Standard,1750,2025-05-20,2025-05-22,Delivered,Card
5668,Pickup,763,2025-03-30,2025-04-06,Shipped,Card
5669,Standard,816,2025-08-10,2025-08-14,Delivered,Cash on Delivery
5670,Standard,1880,2025-03-30,2025-04-04,Shipped,Cash on Delivery
5671,Express,847,2025-06-26,2025-06-30,Pending,Bank Transfer
5672,Pickup,455,2025-08-13,2025-08-19,Delivered,Card
5673,Pickup,1840,2025-04-28,2025-05-04,Delivered,Card
5674,Express,1009,2025-04-23,2025-04-27,Shipped,Cash on Delivery
5675,Standard,1894,2025-08-07,2025-08-14,Shipped,Bank Transfer
5676,Express,356,2024-11-16,2024-11-19,Shipped,Card
5677,Pickup,373,2025-06-17,2025-06-24,Delivered,Bank Transfer
5678,Standard,1356,2024-09-21,2024-09-25,Pending,Card
5679,Standard,1129,2024-07-09,2024-07-16,Pending,Cash on Delivery
5680,Pickup,10,2025-08-12,2025-08-16,Shipped,Bank Transfer
5681,Pickup,151,2025-03-02,2025-03-06,Delivered,Card
5682,Pickup,138,2025-03-09,2025-03-16,Delivered,Card
5683,Pickup,1017,2024-08-09,2024-08-13,Shipped,Bank Transfer
5684,Pickup,1311,2024-12-21,2024-12-24,Delivered,Bank Transfer
5685,Express,1226,2024-10-07,2024-10-13,Delivered,Cash on Delivery
5686,Standard,890,2025-07-05,2025-07-09,Shipped,Cash on Delivery
5687,Express,504,2025-05-10,2025-05-17,Pending,Cash on Delivery
5688,Express,1822,2024-11-10,2024-11-16,Delivered,Bank Transfer
5689,Pickup,1079,2025-01-29,2025-02-01,Pending,Bank Transfer
5690,Standard,646,2025-07-27,2025-07-31,Delivered,Bank Transfer
5691,Standard,1169,2025-03-21,2025-03-25,Pending,Bank Transfer
5692,Pickup,713,2025-07-08,2025-07-13,Pending,Cash on Delivery
5693,Standard,1447,2025-07-11,2025-07-16,Pending,Bank Transfer
5694,Pickup,1527,2024-07-27,2024-07-29,Pending,Bank Transfer
5695,Pickup,739,2025-05-16,2025-05-19,Shipped,Card
5696,Pickup,1355,2024-04-06,2024-04-11,Pending,Cash on Delivery
5697,Pickup,1008,2024-11-26,2024-11-30,Delivered,Card
5698,Pickup,1444,2024-09-12,2024-09-15,Delivered,Bank Transfer
5699,Standard,13,2025-08-08,2025-08-10,Delivered,Card
5700,Pickup,1360,2024-09-02,2024-09-06,Shipped,Bank Transfer
5701,Standard,23,2025-08-12,2025-08-18,Pending,Card
5702,Standard,1309,2025-07-11,2025-07-16,Pending,Cash on Delivery
5703,Pickup,292,2024-11-29,2024-12-03,Delivered,Cash on Delivery
5704,Express,663,2024-09-18,2024-09-21,Shipped,Cash on Delivery
5705,Express,1427,2025-08-11,2025-08-15,Pending,Card
5706,Standard,1910,2025-08-08,2025-08-10,Shipped,Cash on Delivery
5707,Express,1467,2024-08-04,2024-08-08,Shipped,Card
5708,Express,1192,2025-07-10,2025-07-16,Delivered,Bank Transfer
5709,Express,704,2025-03-03,2025-03-07,Delivered,Card
5710,Pickup,228,2025-02-05,2025-02-07,Shipped,Cash on Delivery
5711,Express,512,2024-07-10,2024-07-17,Delivered,Bank Transfer
5712,Standard,1361,2024-11-21,2024-11-23,Delivered,Card
5713,Pickup,1342,2024-03-29,2024-04-04,Delivered,Bank Transfer
5714,Express,978,2025-04-26,2025-04-30,Pending,Card
5715,Standard,672,2025-06-10,2025-06-15,Delivered,Cash on Delivery
5716,Standard,864,2025-06-07,2025-06-13,Shipped,Card
5717,Express,1044,2025-05-31,2025-06-06,Pending,Bank Transfer
5718,Pickup,1420,2025-08-12,2025-08-17,Shipped,Card
5719,Express,338,2024-11-21,2024-11-26,Pending,Card
5720,Standard,1785,2024-07-07,2024-07-12,Pending,Cash on Delivery
5721,Express,731,2024-07-16,2024-07-19,Delivered,Bank Transfer
5722,Express,322,2025-06-20,2025-06-27,Shipped,Bank Transfer
5723,Pickup,779,2024-09-10,2024-09-12,Delivered,Card
5724,Express,1083,2024-12-31,2025-01-07,Pending,Cash on Delivery
5725,Standard,355,2025-06-10,2025-06-16,Pending,Cash on Delivery
5726,Express,1591,2024-02-07,2024-02-10,Shipped,Card
5727,Express,1627,2025-06-23,2025-06-28,Pending,Bank Transfer
5728,Express,1524,2025-05-20,2025-05-26,Delivered,Bank Transfer
5729,Pickup,228,2025-05-07,2025-05-13,Shipped,Bank Transfer
5730,Express,1032,2025-04-03,2025-04-09,Shipped,Card
5731,Pickup,144,2025-08-13,2025-08-19,Shipped,Card
5732,Standard,547,2025-07-02,2025-07-09,Shipped,Card
5733,Pickup,1582,2025-08-11,2025-08-14,Pending,Card
5734,Standard,669,2024-10-17,2024-10-21,Pending,Cash on Delivery
5735,Pickup,996,2025-02-25,2025-03-02,Delivered,Card
5736,Pickup,593,2025-08-13,2025-08-20,Shipped,Cash on Delivery
5737,Pickup,340,2025-03-01,2025-03-07,Pending,Cash on Delivery
5738,Standard,3,2024-12-18,2024-12-25,Shipped,Card
5739,Standard,387,2024-08-24,2024-08-27,Shipped,Cash on Delivery
5740,Pickup,812,2025-08-09,2025-08-14,Pending,Card
5741,Standard,1731,2025-08-13,2025-08-20,Shipped,Cash on Delivery
5742,Pickup,1800,2024-10-31,2024-11-04,Delivered,Card
5743,Pickup,1604,2024-11-28,2024-12-02,Delivered,Cash on Delivery
5744,Standard,1482,2025-07-12,2025-07-15,Shipped,Card
5745,Pickup,44,2025-04-02,2025-04-06,Pending,Bank Transfer
5746,Express,824,2025-07-09,2025-07-11,Delivered,Bank Transfer
5747,Express,939,2025-05-14,2025-05-21,Shipped,Card
5748,Express,956,2025-07-18,2025-07-23,Delivered,Card
5749,Pickup,508,2025-03-27,2025-03-30,Delivered,Card
5750,Express,955,2024-01-15,2024-01-19,Shipped,Cash on Delivery
5751,Express,1008,2024-11-03,2024-11-06,Pending,Bank Transfer
5752,Express,16,2024-08-07,2024-08-11,Shipped,Cash on Delivery
5753,Pickup,1040,2025-04-03,2025-04-06,Shipped,Card
5754,Express,452,2024-10-27,2024-10-29,Delivered,Card
5755,Standard,1974,2024-09-14,2024-09-18,Shipped,Cash on Delivery
5756,Express,859,2025-07-01,2025-07-07,Delivered,Cash on Delivery
5757,Standard,28,2025-07-15,2025-07-22,Shipped,Card
5758,Pickup,1485,2025-03-01,2025-03-04,Delivered,Bank Transfer
5759,Pickup,739,2025-06-05,2025-06-10,Delivered,Bank Transfer
5760,Pickup,939,2025-04-05,2025-04-07,Pending,Bank Transfer
5761,Pickup,1952,2024-10-12,2024-10-19,Pending,Bank Transfer
5762,Express,1587,2025-02-20,2025-02-25,Pending,Card
5763,Pickup,1952,2025-08-01,2025-08-08,Shipped,Bank Transfer
5764,Express,945,2024-09-25,2024-09-29,Shipped,Card
5765,Standard,1812,2025-07-19,2025-07-24,Delivered,Cash on Delivery
5766,Pickup,46,2025-07-24,2025-07-30,Pending,Bank Transfer
5767,Express,1304,2025-04-11,2025-04-16,Pending,Card
5768,Pickup,840,2025-07-24,2025-07-26,Delivered,Cash on Delivery
5769,Standard,736,2025-04-13,2025-04-16,Pending,Bank Transfer
5770,Pickup,908,2025-05-28,2025-05-31,Pending,Cash on Delivery
5771,Express,530,2025-04-15,2025-04-17,Delivered,Bank Transfer
5772,Express,1529,2025-08-08,2025-08-13,Pending,Card
5773,Standard,248,2024-12-27,2024-12-31,Shipped,Bank Transfer
5774,Standard,475,2025-07-02,2025-07-04,Pending,Card
5775,Express,19,2025-08-01,2025-08-08,Delivered,Bank Transfer
5776,Express,1430,2025-02-18,2025-02-21,Pending,Bank Transfer
5777,Standard,894,2025-08-09,2025-08-12,Shipped,Cash on Delivery
5778,Pickup,116,2024-09-01,2024-09-06,Pending,Cash on Delivery
5779,Pickup,448,2025-05-19,2025-05-21,Shipped,Card
5780,Standard,49,2025-05-24,2025-05-28,Shipped,Card
5781,Express,442,2025-01-09,2025-01-14,Shipped,Cash on Delivery
5782,Express,408,2024-12-20,2024-12-24,Shipped,Card
5783,Pickup,172,2025-08-11,2025-08-14,Pending,Cash on Delivery
5784,Pickup,137,2025-08-05,2025-08-08,Pending,Bank Transfer
5785,Pickup,531,2024-03-24,2024-03-26,Pending,Card
5786,Express,1848,2025-08-06,2025-08-08,Shipped,Cash on Delivery
5787,Standard,533,2025-05-28,2025-06-02,Pending,Cash on Delivery
5788,Pickup,620,2025-08-10,2025-08-15,Shipped,Card
5789,Express,274,2024-05-12,2024-05-19,Pending,Bank Transfer
5790,Standard,355,2025-07-08,2025-07-12,Delivered,Card
5791,Express,936,2024-10-18,2024-10-24,Delivered,Bank Transfer
5792,Pickup,583,2025-07-16,2025-07-19,Delivered,Card
5793,Standard,1391,2025-01-04,2025-01-10,Pending,Cash on Delivery
5794,Express,1029,2025-07-05,2025-07-09,Delivered,Card
5795,Express,1740,2025-08-06,2025-08-13,Pending,Cash on Delivery
5796,Standard,86,2025-08-12,2025-08-15,Pending,Card
5797,Pickup,681,2024-08-17,2024-08-24,Delivered,Bank Transfer
5798,Pickup,1661,2024-10-17,2024-10-21,Delivered,Card
5799,Express,130,2025-08-01,2025-08-05,Shipped,Cash on Delivery
5800,Standard,807,2025-07-17,2025-07-24,Shipped,Bank Transfer
5801,Standard,1351,2025-06-22,2025-06-29,Pending,Bank Transfer
5802,Pickup,1521,2024-06-07,2024-06-10,Delivered,Cash on Delivery
5803,Standard,1831,2025-04-10,2025-04-14,Shipped,Card
5804,Standard,1626,2025-01-02,2025-01-07,Pending,Card
5805,Pickup,1167,2024-12-24,2024-12-27,Pending,Bank Transfer
5806,Pickup,1970,2025-06-20,2025-06-26,Delivered,Card
5807,Standard,1075,2024-12-15,2024-12-17,Pending,Card
5808,Express,1312,2025-06-27,2025-07-01,Pending,Bank Transfer
5809,Pickup,919,2025-05-02,2025-05-08,Shipped,Bank Transfer
5810,Pickup,255,2025-07-10,2025-07-12,Delivered,Card
5811,Standard,1281,2024-11-15,2024-11-20,Pending,Card
5812,Express,1956,2024-12-07,2024-12-11,Delivered,Cash on Delivery
5813,Standard,546,2025-06-30,2025-07-03,Pending,Bank Transfer
5814,Standard,1882,2025-01-27,2025-01-30,Shipped,Bank Transfer
5815,Standard,362,2025-06-14,2025-06-21,Shipped,Bank Transfer
5816,Express,57,2025-08-09,2025-08-12,Pending,Bank Transfer
5817,Express,593,2025-05-23,2025-05-28,Shipped,Cash on Delivery
5818,Pickup,1965,2025-02-14,2025-02-20,Pending,Cash on Delivery
5819,Express,1387,2025-03-25,2025-03-31,Shipped,Cash on Delivery
5820,Standard,527,2025-05-21,2025-05-23,Shipped,Card
5821,Express,1385,2025-07-05,2025-07-08,Delivered,Cash on Delivery
5822,Express,704,2024-11-15,2024-11-19,Shipped,Cash on Delivery
5823,Express,386,2025-04-27,2025-05-03,Delivered,Bank Transfer
5824,Pickup,281,2024-08-07,2024-08-09,Delivered,Bank Transfer
5825,Pickup,593,2025-06-18,2025-06-25,Shipped,Bank Transfer
5826,Pickup,681,2024-09-08,2024-09-13,Shipped,Bank Transfer
5827,Pickup,619,2025-08-13,2025-08-17,Delivered,Card
5828,Pickup,802,2025-07-11,2025-07-16,Pending,Card
5829,Standard,1,2025-01-12,2025-01-17,Shipped,Cash on Delivery
5830,Express,267,2024-08-22,2024-08-28,Shipped,Bank Transfer
5831,Standard,584,2025-08-12,2025-08-18,Shipped,Bank Transfer
5832,Express,1600,2024-10-20,2024-10-26,Pending,Bank Transfer
5833,Pickup,1474,2024-12-09,2024-12-11,Delivered,Bank Transfer
5834,Pickup,1307,2025-05-22,2025-05-25,Shipped,Bank Transfer
5835,Pickup,1690,2025-07-08,2025-07-15,Shipped,Bank Transfer
5836,Pickup,113,2025-02-05,2025-02-07,Delivered,Cash on Delivery
5837,Standard,186,2025-06-17,2025-06-20,Shipped,Bank Transfer
5838,Standard,1067,2024-11-07,2024-11-09,Pending,Cash on Delivery
5839,Standard,884,2025-07-04,2025-07-08,Shipped,Card
5840,Standard,1529,2025-07-29,2025-08-02,Shipped,Card
5841,Express,138,2025-02-14,2025-02-18,Shipped,Cash on Delivery
5842,Express,516,2025-02-27,2025-03-04,Shipped,Card
5843,Standard,207,2024-06-12,2024-06-17,Delivered,Bank Transfer
5844,Pickup,775,2025-08-06,2025-08-12,Delivered,Cash on Delivery
5845,Express,633,2024-06-02,2024-06-09,Delivered,Card
5846,Express,126,2024-09-17,2024-09-22,Shipped,Cash on Delivery
5847,Standard,1541,2025-07-04,2025-07-06,Pending,Cash on Delivery
5848,Express,119,2025-06-04,2025-06-10,Pending,Card
5849,Pickup,651,2024-10-05,2024-10-10,Delivered,Cash on Delivery
5850,Express,1711,2025-08-05,2025-08-07,Delivered,Card
5851,Standard,1341,2025-08-13,2025-08-17,Shipped,Card
5852,Express,459,2025-01-01,2025-01-05,Shipped,Cash on Delivery
5853,Standard,550,2025-05-08,2025-05-13,Pending,Card
5854,Express,1713,2025-05-01,2025-05-08,Pending,Bank Transfer
5855,Pickup,839,2025-06-17,2025-06-22,Pending,Bank Transfer
5856,Express,1608,2025-06-27,2025-07-01,Delivered,Bank Transfer
5857,Standard,1417,2025-06-16,2025-06-22,Delivered,Card
5858,Express,661,2025-07-02,2025-07-05,Shipped,Card
5859,Standard,1947,2025-05-21,2025-05-25,Delivered,Card
5860,Standard,1057,2024-10-17,2024-10-21,Shipped,Cash on Delivery
5861,Standard,1778,2025-01-23,2025-01-27,Delivered,Card
5862,Standard,982,2025-06-26,2025-06-29,Shipped,Cash on Delivery
5863,Standard,1713,2024-10-23,2024-10-27,Delivered,Card
5864,Express,118,2024-07-26,2024-07-28,Delivered,Cash on Delivery
5865,Express,62,2025-05-30,2025-06-03,Shipped,Cash on Delivery
5866,Standard,1741,2025-07-10,2025-07-16,Shipped,Bank Transfer
5867,Standard,1060,2024-10-02,2024-10-09,Shipped,Bank Transfer
5868,Express,507,2025-05-21,2025-05-23,Shipped,Card
5869,Standard,1879,2025-07-29,2025-08-01,Pending,Card
5870,Express,688,2025-04-04,2025-04-09,Pending,Bank Transfer
5871,Standard,1833,2024-07-12,2024-07-15,Pending,Bank Transfer
5872,Standard,228,2024-11-20,2024-11-27,Pending,Card
5873,Express,1340,2025-08-11,2025-08-15,Shipped,Card
5874,Standard,1652,2024-10-22,2024-10-27,Pending,Card
5875,Standard,1505,2024-02-15,2024-02-17,Delivered,Bank Transfer
5876,Pickup,662,2025-06-04,2025-06-07,Shipped,Bank Transfer
5877,Pickup,1923,2024-05-15,2024-05-18,Delivered,Card
5878,Standard,1696,2024-11-22,2024-11-26,Pending,Card
5879,Pickup,787,2024-11-14,2024-11-21,Pending,Card
5880,Pickup,1631,2024-11-12,2024-11-15,Shipped,Card
5881,Express,1432,2024-02-23,2024-02-28,Shipped,Card
5882,Pickup,1041,2024-12-12,2024-12-14,Pending,Card
5883,Pickup,993,2025-06-03,2025-06-10,Shipped,Cash on Delivery
5884,Express,1880,2025-03-28,2025-04-03,Pending,Cash on Delivery
5885,Standard,1978,2025-04-03,2025-04-08,Pending,Card
5886,Standard,51,2025-03-16,2025-03-21,Delivered,Cash on Delivery
5887,Pickup,1101,2025-06-22,2025-06-28,Delivered,Bank Transfer
5888,Express,1832,2025-04-14,2025-04-16,Delivered,Bank Transfer
5889,Standard,1432,2024-05-10,2024-05-13,Shipped,Cash on Delivery
5890,Standard,994,2025-04-17,2025-04-20,Shipped,Bank Transfer
5891,Pickup,1836,2024-10-14,2024-10-20,Shipped,Card
5892,Express,449,2025-08-13,2025-08-19,Pending,Cash on Delivery
5893,Express,19,2024-12-04,2024-12-06,Shipped,Bank Transfer
5894,Standard,912,2025-03-31,2025-04-04,Shipped,Card
5895,Pickup,957,2025-03-27,2025-04-03,Delivered,Cash on Delivery
5896,Express,1891,2024-02-18,2024-02-23,Delivered,Cash on Delivery
5897,Pickup,351,2024-09-02,2024-09-07,Shipped,Card
5898,Pickup,954,2025-05-27,2025-06-01,Shipped,Bank Transfer
5899,Standard,707,2025-04-29,2025-05-02,Delivered,Cash on Delivery
5900,Express,1566,2025-03-10,2025-03-17,Shipped,Card
5901,Pickup,644,2025-03-21,2025-03-25,Shipped,Bank Transfer
5902,Express,878,2025-04-26,2025-04-29,Pending,Card
5903,Express,1503,2025-07-22,2025-07-27,Shipped,Bank Transfer
5904,Pickup,1437,2024-11-01,2024-11-04,Shipped,Card
5905,Pickup,1381,2024-08-20,2024-08-25,Delivered,Cash on Delivery
5906,Standard,1541,2024-08-08,2024-08-15,Pending,Cash on Delivery
5907,Pickup,95,2025-04-29,2025-05-06,Delivered,Bank Transfer
5908,Pickup,247,2024-11-13,2024-11-20,Delivered,Cash on Delivery
5909,Standard,443,2024-08-08,2024-08-15,Pending,Card
5910,Pickup,885,2024-12-02,2024-12-08,Delivered,Card
5911,Standard,1978,2025-03-16,2025-03-22,Shipped,Cash on Delivery
5912,Pickup,1108,2025-02-18,2025-02-21,Shipped,Cash on Delivery
5913,Pickup,82,2025-08-11,2025-08-13,Pending,Card
5914,Express,1731,2025-08-13,2025-08-20,Shipped,Card
5915,Express,1924,2024-12-01,2024-12-04,Delivered,Card
5916,Pickup,449,2025-08-13,2025-08-18,Delivered,Cash on Delivery
5917,Pickup,726,2025-08-11,2025-08-17,Pending,Cash on Delivery
5918,Standard,140,2024-03-25,2024-03-30,Delivered,Bank Transfer
5919,Pickup,991,2024-08-03,2024-08-05,Shipped,Cash on Delivery
5920,Pickup,1976,2024-05-13,2024-05-16,Delivered,Bank Transfer
5921,Pickup,1746,2025-03-23,2025-03-30,Shipped,Card
5922,Pickup,262,2025-02-08,2025-02-10,Shipped,Card
5923,Standard,1328,2024-12-06,2024-12-08,Shipped,Bank Transfer
5924,Express,890,2025-07-13,2025-07-18,Shipped,Bank Transfer
5925,Pickup,1668,2025-08-13,2025-08-16,Shipped,Card
5926,Express,1038,2025-05-01,2025-05-04,Shipped,Bank Transfer
5927,Standard,1036,2024-08-01,2024-08-08,Pending,Cash on Delivery
5928,Express,1831,2025-03-19,2025-03-24,Pending,Card
5929,Pickup,1396,2025-01-26,2025-02-02,Pending,Card
5930,Pickup,283,2025-03-20,2025-03-22,Shipped,Cash on Delivery
5931,Express,1272,2024-12-13,2024-12-15,Pending,Cash on Delivery
5932,Pickup,500,2025-03-28,2025-04-04,Pending,Bank Transfer
5933,Express,126,2024-11-08,2024-11-13,Delivered,Card
5934,Express,1197,2025-01-31,2025-02-03,Delivered,Card
5935,Express,974,2025-07-05,2025-07-12,Pending,Cash on Delivery
5936,Pickup,236,2024-11-01,2024-11-05,Pending,Bank Transfer
5937,Express,19,2024-11-13,2024-11-17,Shipped,Bank Transfer
5938,Express,1181,2025-07-15,2025-07-18,Shipped,Bank Transfer
5939,Pickup,513,2024-11-23,2024-11-30,Pending,Card
5940,Pickup,238,2025-02-16,2025-02-21,Delivered,Bank Transfer
5941,Express,1106,2024-03-01,2024-03-03,Pending,Bank Transfer
5942,Pickup,1384,2024-06-18,2024-06-23,Shipped,Card
5943,Express,1717,2025-07-13,2025-07-17,Delivered,Bank Transfer
5944,Express,1091,2025-06-16,2025-06-22,Pending,Cash on Delivery
5945,Express,483,2024-05-14,2024-05-21,Delivered,Bank Transfer
5946,Express,1999,2025-01-08,2025-01-15,Shipped,Card
5947,Express,1836,2024-10-09,2024-10-11,Shipped,Cash on Delivery
5948,Express,899,2025-04-21,2025-04-28,Pending,Card
5949,Standard,1144,2025-03-17,2025-03-19,Delivered,Card
5950,Pickup,1248,2024-07-05,2024-07-09,Pending,Cash on Delivery
5951,Express,1751,2024-12-14,2024-12-21,Pending,Cash on Delivery
5952,Pickup,39,2024-04-22,2024-04-25,Shipped,Bank Transfer
5953,Express,1892,2025-05-08,2025-05-14,Shipped,Bank Transfer
5954,Express,349,2025-06-08,2025-06-12,Shipped,Cash on Delivery
5955,Standard,760,2025-05-23,2025-05-26,Delivered,Cash on Delivery
5956,Express,783,2025-06-04,2025-06-09,Delivered,Cash on Delivery
5957,Express,1459,2024-08-18,2024-08-23,Pending,Card
5958,Express,334,2025-04-20,2025-04-27,Pending,Bank Transfer
5959,Express,807,2025-06-29,2025-07-04,Pending,Cash on Delivery
5960,Pickup,1486,2024-12-17,2024-12-23,Pending,Card
5961,Pickup,1645,2025-02-12,2025-02-19,Delivered,Card
5962,Express,1891,2023-12-16,2023-12-20,Delivered,Card
5963,Standard,495,2025-06-09,2025-06-11,Delivered,Cash on Delivery
5964,Standard,793,2025-03-24,2025-03-30,Shipped,Cash on Delivery
5965,Pickup,1963,2025-07-01,2025-07-05,Shipped,Bank Transfer
5966,Pickup,544,2025-07-09,2025-07-11,Delivered,Bank Transfer
5967,Express,662,2025-03-22,2025-03-29,Delivered,Bank Transfer
5968,Pickup,95,2025-08-11,2025-08-16,Pending,Cash on Delivery
5969,Express,1000,2024-06-21,2024-06-25,Shipped,Cash on Delivery
5970,Express,95,2025-01-05,2025-01-09,Delivered,Card
5971,Pickup,1795,2025-07-27,2025-07-31,Pending,Bank Transfer
5972,Express,1567,2025-08-03,2025-08-10,Delivered,Bank Transfer
5973,Express,1325,2024-03-20,2024-03-22,Shipped,Bank Transfer
5974,Standard,35,2024-11-05,2024-11-12,Delivered,Card
5975,Pickup,258,2025-06-21,2025-06-27,Shipped,Bank Transfer
5976,Pickup,1548,2025-04-11,2025-04-13,Shipped,Bank Transfer
5977,Standard,1686,2025-01-21,2025-01-23,Delivered,Bank Transfer
5978,Express,1648,2024-09-16,2024-09-19,Pending,Card
5979,Express,1160,2024-12-16,2024-12-18,Delivered,Bank Transfer
5980,Pickup,1699,2025-07-17,2025-07-19,Pending,Cash on Delivery
5981,Express,709,2025-08-13,2025-08-16,Delivered,Cash on Delivery
5982,Pickup,696,2025-01-26,2025-01-31,Delivered,Bank Transfer
5983,Express,996,2024-08-06,2024-08-09,Pending,Bank Transfer
5984,Express,562,2025-07-26,2025-08-02,Shipped,Card
5985,Express,1253,2025-05-16,2025-05-21,Delivered,Cash on Delivery
5986,Express,1502,2025-06-26,2025-07-02,Delivered,Bank Transfer
5987,Express,1074,2025-04-01,2025-04-08,Delivered,Bank Transfer
5988,Pickup,1059,2024-09-07,2024-09-10,Shipped,Bank Transfer
5989,Standard,575,2025-05-05,2025-05-07,Delivered,Bank Transfer
5990,Standard,1722,2025-07-10,2025-07-17,Pending,Card
5991,Standard,651,2024-12-22,2024-12-28,Shipped,Card
5992,Standard,227,2025-05-30,2025-06-02,Delivered,Card
5993,Standard,1761,2024-12-05,2024-12-09,Delivered,Bank Transfer
5994,Pickup,1112,2024-09-06,2024-09-09,Delivered,Card
5995,Standard,1794,2025-05-11,2025-05-17,Shipped,Card
5996,Express,1281,2025-01-29,2025-02-02,Delivered,Card
5997,Standard,52,2025-04-03,2025-04-09,Shipped,Cash on Delivery
5998,Pickup,1388,2025-04-09,2025-04-15,Pending,Bank Transfer
5999,Standard,1261,2025-05-14,2025-05-21,Delivered,Bank Transfer
6000,Standard,233,2024-05-07,2024-05-13,Delivered,Cash on Delivery
6001,Standard,1597,2025-04-04,2025-04-09,Pending,Cash on Delivery
6002,Pickup,498,2025-03-15,2025-03-19,Delivered,Bank Transfer
6003,Standard,1805,2024-11-11,2024-11-16,Shipped,Card
6004,Pickup,1330,2024-03-24,2024-03-31,Shipped,Card
6005,Pickup,913,2024-06-15,2024-06-20,Pending,Cash on Delivery
6006,Express,289,2025-05-20,2025-05-25,Shipped,Cash on Delivery
6007,Standard,959,2024-10-05,2024-10-07,Pending,Card
6008,Pickup,104,2025-06-10,2025-06-14,Pending,Cash on Delivery
6009,Express,1894,2025-08-11,2025-08-18,Delivered,Bank Transfer
6010,Standard,1603,2024-11-20,2024-11-25,Pending,Card
6011,Standard,1605,2025-08-05,2025-08-09,Pending,Card
6012,Standard,527,2025-07-28,2025-08-03,Shipped,Bank Transfer
6013,Express,1955,2024-12-11,2024-12-14,Shipped,Bank Transfer
